number,customerID
(559)471-8972,1
2455329658,2
204-710-4036,3
(289)440-5629x17228,4
+1-570-886-7900,5
9885697725,6
724-868-9491,7
+1-756-483-8160,8
5524361245,9
001-833-491-3663x85312,10
239-334-3900x446,11
252-532-4200x676,12
+1-291-304-6747x587,13
575-582-6203x3392,14
(628)614-4771x147,15
668-934-9036,16
570-276-9181,17
(519)236-2043x20530,18
959-676-1280x44675,19
(601)942-0187x8826,20
001-232-201-6105x54013,21
+1-390-615-5818x20600,22
+1-488-356-1318x1600,23
(651)307-9063x22598,24
+1-284-534-3481x302,25
001-993-318-9391x962,26
001-622-291-8085x686,27
850.958.9990x945,28
(778)905-9907x0292,29
311.856.6885x01496,30
(203)691-4688x68102,31
397-845-8341,32
001-460-361-6926x5243,33
001-484-708-8337x4994,34
+1-223-579-5755x9388,35
+1-942-686-8629x7850,36
+1-615-400-0376x470,37
(208)585-6961x257,38
001-329-903-3038x331,39
701.760.6379x0726,40
883.598.2084x227,41
(916)783-7661x55483,42
+1-345-587-9436x3859,43
420.212.4751x774,44
+1-445-594-1149x81728,45
9816886495,46
633.299.8281x636,47
832.753.4494x8755,48
578-736-2656,49
796.565.7391,50
+1-540-493-7591x211,51
(761)402-9191x47181,52
(459)327-8759x605,53
001-866-815-2097,54
+1-514-533-3107,55
(361)864-7070x1882,56
245-859-1795,57
+1-427-620-0999,58
+1-340-686-1798x1961,59
001-286-335-5811x58241,60
001-946-771-8258x088,61
692.486.9651,62
001-853-229-9230x6408,63
(758)726-0338x176,64
(848)989-8779x1853,65
3194926878,66
+1-960-240-1090x0085,67
+1-334-672-3048,68
001-908-704-6175x197,69
848.453.2388x55624,70
(776)456-5696x776,71
001-238-509-3416,72
(687)251-0819,73
001-556-905-4777,74
(749)234-1454x544,75
489-574-6136x343,76
352.928.9220,77
614-727-9537,78
773-524-5605,79
681.899.9674,80
001-934-967-0633x8400,81
288.613.4385x454,82
446-974-6920x35492,83
+1-638-839-2406,84
398-472-9427,85
(509)891-0054x684,86
945-963-8298,87
968.633.8080x97619,88
419-298-5377x2399,89
700-343-9755,90
9847374053,91
955-504-1116x6722,92
+1-492-511-0108,93
9259570000,94
+1-711-647-7287x5123,95
(621)497-9625x005,96
7859750536,97
780-829-0081,98
+1-541-581-4995,99
2822545413,100
697-345-9914x413,101
2514575131,102
890-562-3702x32961,103
001-319-333-2340,104
276-434-3383x7193,105
(286)595-8655x60577,106
+1-307-657-1542x027,107
845.950.0098,108
789-869-5741,109
+1-257-686-9551x1774,110
910.220.8377,111
001-248-675-9700,112
001-205-267-2123x02500,113
001-202-346-6195x746,114
752.978.0081,115
401-801-0572x05028,116
774.484.6157,117
241-453-0965x314,118
(784)326-4309,119
(929)815-7628x5427,120
001-631-640-9816x9656,121
(927)601-1013x273,122
481-958-4323,123
769-264-8135,124
877.699.8408,125
+1-622-339-0952x2570,126
(399)543-0583,127
(529)233-8656,128
487-405-0886x785,129
(576)891-1478,130
914-228-6016,131
571-417-1495,132
888-667-8224x22651,133
001-623-528-2472x05255,134
229.217.3687x02572,135
(368)753-0834,136
759-464-6182,137
717.404.1051x47080,138
330.913.7745x929,139
770-716-9516x52563,140
212-550-4032,141
228-854-6910x9035,142
001-909-815-4011x79695,143
001-565-892-5395x28969,144
+1-471-821-7590x6480,145
729-615-4595,146
001-282-533-9999x99751,147
(386)432-8441x5871,148
(927)472-8746,149
234-428-9905x4042,150
